,Postcode,Population,Households
1652032,NR3 3BZ,15.0,8.0
1652033,NR3 3DA,8.0,5.0
1652036,NR3 3DE,55.0,29.0
1652037,NR3 3DF,43.0,39.0
1652038,NR3 3DG,15.0,10.0
1652042,NR3 3DN,30.0,16.0
1652043,NR3 3DP,24.0,12.0
1652044,NR3 3DQ,23.0,16.0
1652045,NR3 3DR,8.0,4.0
1652046,NR3 3DS,72.0,55.0
1652047,NR3 3DT,67.0,27.0
1652048,NR3 3DU,13.0,11.0
1652051,NR3 3DY,102.0,40.0
1652055,NR3 3ED,26.0,10.0
1652056,NR3 3EE,41.0,26.0
1652058,NR3 3EG,9.0,5.0
1652059,NR3 3EH,129.0,59.0
1652060,NR3 3EJ,131.0,59.0
1652062,NR3 3EN,84.0,43.0
1652064,NR3 3EQ,30.0,17.0
1652065,NR3 3ER,17.0,10.0
1652066,NR3 3ES,16.0,10.0
1652067,NR3 3ET,72.0,37.0
1652068,NR3 3EU,28.0,12.0
1652069,NR3 3EW,101.0,50.0
1652070,NR3 3EX,17.0,8.0
1652071,NR3 3EY,16.0,7.0
1652072,NR3 3EZ,29.0,15.0
1652073,NR3 3FA,19.0,7.0
1652074,NR3 3FB,22.0,6.0
1652083,NR3 3GX,74.0,22.0
1652087,NR3 3HB,26.0,17.0
1652088,NR3 3HD,30.0,20.0
1652089,NR3 3HE,40.0,28.0
1652090,NR3 3HF,110.0,57.0
1652091,NR3 3HG,24.0,8.0
1652092,NR3 3HH,117.0,50.0
1652094,NR3 3HL,30.0,16.0
1652095,NR3 3HN,34.0,8.0
1652096,NR3 3HP,41.0,19.0
1652097,NR3 3HQ,15.0,10.0
1652098,NR3 3HR,56.0,26.0
1652099,NR3 3HS,18.0,12.0
1652100,NR3 3HT,25.0,10.0
1652101,NR3 3HU,27.0,14.0
1652102,NR3 3HW,7.0,4.0
1652103,NR3 3HX,86.0,30.0
1652104,NR3 3HY,21.0,9.0
1652105,NR3 3HZ,26.0,11.0
1652106,NR3 3JA,33.0,21.0
1652107,NR3 3JB,14.0,4.0
1652108,NR3 3JD,37.0,12.0
1652109,NR3 3JE,28.0,11.0
1652110,NR3 3JF,15.0,7.0
1652111,NR3 3JG,9.0,4.0
1652112,NR3 3JH,43.0,19.0
1652113,NR3 3JJ,2.0,2.0
1652114,NR3 3JL,136.0,38.0
1652115,NR3 3JN,12.0,4.0
1652116,NR3 3JP,85.0,31.0
1652117,NR3 3JQ,71.0,34.0
1652118,NR3 3JR,72.0,41.0
1652119,NR3 3JS,85.0,49.0
1652120,NR3 3JT,51.0,22.0
1652121,NR3 3JU,67.0,31.0
1652122,NR3 3JW,96.0,51.0
1652123,NR3 3JX,65.0,42.0
1652124,NR3 3JY,43.0,14.0
1652125,NR3 3JZ,67.0,38.0
1652126,NR3 3LA,15.0,14.0
1652127,NR3 3LB,182.0,73.0
1652129,NR3 3LE,48.0,21.0
1652130,NR3 3LF,119.0,52.0
1652131,NR3 3LG,69.0,29.0
1652132,NR3 3LH,12.0,8.0
1652134,NR3 3LL,62.0,24.0
1652135,NR3 3LN,39.0,17.0
1652136,NR3 3LP,38.0,15.0
1652137,NR3 3LQ,45.0,13.0
1652139,NR3 3LS,114.0,39.0
1652140,NR3 3LT,89.0,35.0
1652141,NR3 3LU,85.0,53.0
1652142,NR3 3LW,47.0,19.0
1652143,NR3 3LX,28.0,17.0
1652144,NR3 3LY,52.0,22.0
1652145,NR3 3LZ,14.0,8.0
1652146,NR3 3NA,105.0,55.0
1652149,NR3 3NE,56.0,34.0
1652150,NR3 3NF,70.0,42.0
1652151,NR3 3NG,134.0,66.0
1652152,NR3 3NH,17.0,10.0
1652153,NR3 3NJ,86.0,43.0
1652154,NR3 3NL,36.0,14.0
1652155,NR3 3NN,80.0,35.0
1652157,NR3 3NQ,29.0,16.0
1652158,NR3 3NR,26.0,12.0
1652159,NR3 3NS,4.0,2.0
1652160,NR3 3NT,27.0,9.0
1652161,NR3 3NU,59.0,28.0
1652162,NR3 3NW,40.0,17.0
1652163,NR3 3NX,25.0,10.0
1652164,NR3 3NY,41.0,24.0
1652165,NR3 3NZ,93.0,52.0
1652166,NR3 3PA,10.0,6.0
1652167,NR3 3PB,18.0,11.0
1652169,NR3 3PE,35.0,19.0
1652170,NR3 3PF,159.0,56.0
1652171,NR3 3PG,58.0,17.0
1652172,NR3 3PH,14.0,8.0
1652173,NR3 3PJ,28.0,16.0
1652174,NR3 3PL,28.0,19.0
1652175,NR3 3PN,40.0,17.0
1652176,NR3 3PP,72.0,22.0
1652177,NR3 3PQ,159.0,57.0
1652178,NR3 3PR,24.0,15.0
1652179,NR3 3PS,6.0,4.0
1652180,NR3 3PT,50.0,21.0
1652181,NR3 3PU,35.0,24.0
1652182,NR3 3PW,78.0,25.0
1652184,NR3 3PY,177.0,60.0
1652186,NR3 3QA,44.0,19.0
1652187,NR3 3QB,80.0,36.0
1652188,NR3 3QD,84.0,41.0
1652189,NR3 3QE,83.0,26.0
1652190,NR3 3QF,62.0,23.0
1652191,NR3 3QG,47.0,20.0
1652192,NR3 3QH,48.0,26.0
1652193,NR3 3QJ,15.0,9.0
1652194,NR3 3QL,25.0,13.0
1652197,NR3 3QQ,4.0,2.0
1652204,NR3 3QY,38.0,18.0
1652205,NR3 3QZ,28.0,19.0
1652206,NR3 3RA,91.0,39.0
1652207,NR3 3RB,47.0,31.0
1652208,NR3 3RD,59.0,19.0
1652209,NR3 3RE,81.0,44.0
1652210,NR3 3RF,100.0,31.0
1652211,NR3 3RG,67.0,40.0
1652212,NR3 3RH,136.0,45.0
1652214,NR3 3RL,33.0,20.0
1652215,NR3 3RN,142.0,61.0
1652216,NR3 3RP,21.0,11.0
1652217,NR3 3RQ,129.0,44.0
1652221,NR3 3RU,34.0,31.0
1652222,NR3 3RW,86.0,43.0
1652223,NR3 3RX,46.0,29.0
1652224,NR3 3RY,46.0,30.0
1652225,NR3 3RZ,62.0,32.0
1652227,NR3 3SB,9.0,5.0
1652230,NR3 3ST,8.0,3.0
1652231,NR3 3SX,45.0,22.0
1652234,NR3 3TA,83.0,36.0
1652235,NR3 3TB,42.0,34.0
1652236,NR3 3TD,116.0,36.0
1652237,NR3 3TE,25.0,10.0
1652238,NR3 3TF,42.0,29.0
1652239,NR3 3TG,38.0,14.0
1652240,NR3 3TH,104.0,42.0
1652241,NR3 3TJ,21.0,15.0
1652243,NR3 3TN,22.0,19.0
1652245,NR3 3TQ,66.0,25.0
1652248,NR3 3TT,10.0,5.0
1652249,NR3 3TU,43.0,17.0
1652250,NR3 3TW,46.0,35.0
1652251,NR3 3TX,48.0,21.0
1652252,NR3 3TY,2.0,1.0
1652253,NR3 3TZ,23.0,10.0
1652258,NR3 3UF,102.0,57.0
1652278,NR3 3XP,26.0,20.0
1652284,NR3 4AA,18.0,10.0
1652285,NR3 4AB,93.0,46.0
1652286,NR3 4AD,36.0,18.0
1652287,NR3 4AE,10.0,5.0
1652288,NR3 4AF,11.0,6.0
1652289,NR3 4AG,15.0,7.0
1652292,NR3 4AL,9.0,6.0
1652293,NR3 4AN,45.0,21.0
1652295,NR3 4AQ,12.0,8.0
1652300,NR3 4AW,11.0,5.0
1652302,NR3 4AY,29.0,15.0
1652303,NR3 4AZ,59.0,29.0
1652304,NR3 4BA,15.0,9.0
1652305,NR3 4BB,62.0,26.0
1652306,NR3 4BD,11.0,5.0
1652307,NR3 4BE,78.0,34.0
1652310,NR3 4BH,12.0,8.0
1652311,NR3 4BJ,90.0,36.0
1652312,NR3 4BL,15.0,6.0
1652313,NR3 4BN,15.0,6.0
1652314,NR3 4BP,59.0,28.0
1652315,NR3 4BQ,23.0,9.0
1652316,NR3 4BS,72.0,32.0
1652317,NR3 4BT,17.0,7.0
1652318,NR3 4BU,61.0,28.0
1652319,NR3 4BW,7.0,5.0
1652321,NR3 4BY,41.0,19.0
1652322,NR3 4BZ,33.0,15.0
1652324,NR3 4DB,8.0,4.0
1652326,NR3 4DE,54.0,21.0
1652327,NR3 4DF,12.0,4.0
1652328,NR3 4DG,58.0,12.0
1652329,NR3 4DH,24.0,15.0
1652332,NR3 4DN,19.0,10.0
1652333,NR3 4DP,127.0,53.0
1652334,NR3 4DQ,28.0,14.0
1652335,NR3 4DR,15.0,7.0
1652336,NR3 4DS,62.0,29.0
1652337,NR3 4DT,85.0,42.0
1652338,NR3 4DU,73.0,38.0
1652339,NR3 4DW,55.0,28.0
1652340,NR3 4DX,57.0,25.0
1652341,NR3 4DY,11.0,5.0
1652344,NR3 4EB,26.0,15.0
1652345,NR3 4ED,87.0,12.0
1652346,NR3 4EE,34.0,22.0
1652347,NR3 4EF,91.0,54.0
1652348,NR3 4EG,78.0,40.0
1652349,NR3 4EH,17.0,7.0
1652350,NR3 4EJ,12.0,8.0
1652351,NR3 4EL,13.0,6.0
1652352,NR3 4EN,103.0,48.0
1652353,NR3 4EP,81.0,56.0
1652354,NR3 4EQ,54.0,40.0
1652355,NR3 4ER,38.0,20.0
1652356,NR3 4ES,36.0,16.0
1652357,NR3 4ET,57.0,38.0
1652358,NR3 4EU,22.0,11.0
1652359,NR3 4EW,96.0,42.0
1652363,NR3 4HA,91.0,26.0
1652364,NR3 4HB,69.0,27.0
1652365,NR3 4HD,28.0,11.0
1652366,NR3 4HE,29.0,10.0
1652367,NR3 4HF,67.0,29.0
1652368,NR3 4HG,63.0,29.0
1652369,NR3 4HH,25.0,9.0
1652370,NR3 4HJ,23.0,10.0
1652371,NR3 4HL,8.0,2.0
1652372,NR3 4HN,36.0,13.0
1652374,NR3 4HQ,23.0,10.0
1652377,NR3 4HT,12.0,4.0
1652378,NR3 4HW,59.0,21.0
1652380,NR3 4HY,61.0,27.0
1652381,NR3 4HZ,21.0,10.0
1652382,NR3 4JA,70.0,24.0
1652383,NR3 4JB,86.0,63.0
1652385,NR3 4JE,34.0,22.0
1652386,NR3 4JF,28.0,16.0
1652388,NR3 4JH,5.0,3.0
1652389,NR3 4JJ,30.0,21.0
1652391,NR3 4JN,36.0,19.0
1652392,NR3 4JP,73.0,32.0
1652393,NR3 4JQ,4.0,3.0
1652395,NR3 4JS,22.0,17.0
1652396,NR3 4JT,25.0,10.0
1652397,NR3 4JU,75.0,46.0
1652399,NR3 4JX,14.0,11.0
1652401,NR3 4JZ,16.0,7.0
1652402,NR3 4LA,2.0,2.0
1652403,NR3 4LB,50.0,24.0
1652405,NR3 4LE,69.0,34.0
1652406,NR3 4LF,59.0,32.0
1652407,NR3 4LG,24.0,11.0
1652409,NR3 4LN,12.0,4.0
1652410,NR3 4LQ,26.0,11.0
1652411,NR3 4LW,11.0,4.0
1652415,NR3 4PA,80.0,42.0
1652416,NR3 4PB,52.0,25.0
1652417,NR3 4PD,49.0,21.0
1652418,NR3 4PE,45.0,20.0
1652419,NR3 4PF,33.0,19.0
1652420,NR3 4PG,19.0,13.0
1652421,NR3 4PH,111.0,60.0
1652422,NR3 4PJ,94.0,45.0
1652423,NR3 4PL,92.0,46.0
1652424,NR3 4PN,68.0,34.0
1652425,NR3 4PP,108.0,51.0
1652426,NR3 4PQ,12.0,8.0
1652427,NR3 4PR,74.0,35.0
1652428,NR3 4PS,78.0,39.0
1652429,NR3 4PT,84.0,43.0
1652430,NR3 4PU,70.0,40.0
1652431,NR3 4PW,75.0,34.0
1652432,NR3 4PX,64.0,37.0
1652433,NR3 4PY,66.0,32.0
1652434,NR3 4PZ,132.0,66.0
1652436,NR3 4QB,121.0,62.0
1652437,NR3 4QD,93.0,51.0
1652438,NR3 4QE,113.0,48.0
1652439,NR3 4QF,124.0,60.0
1652440,NR3 4QG,28.0,12.0
1652441,NR3 4QH,37.0,19.0
1652442,NR3 4QJ,69.0,31.0
1652443,NR3 4QL,30.0,12.0
1652444,NR3 4QN,95.0,41.0
1652446,NR3 4QQ,95.0,39.0
1652447,NR3 4QR,28.0,13.0
1652451,NR3 4QW,20.0,11.0
1652452,NR3 4QX,28.0,18.0
1652453,NR3 4QY,25.0,17.0
1652455,NR3 4RA,83.0,43.0
1652456,NR3 4RB,9.0,5.0
1652458,NR3 4RE,108.0,45.0
1652459,NR3 4RF,116.0,43.0
1652460,NR3 4RG,38.0,16.0
1652462,NR3 4RJ,35.0,12.0
1652463,NR3 4RL,23.0,10.0
1652464,NR3 4RN,87.0,42.0
1652466,NR3 4RQ,4.0,1.0
1652468,NR3 4RS,77.0,30.0
1652469,NR3 4RT,130.0,66.0
1652470,NR3 4RU,87.0,47.0
1652471,NR3 4RW,82.0,42.0
1652472,NR3 4RX,78.0,32.0
1652473,NR3 4RY,147.0,63.0
1652474,NR3 4RZ,128.0,48.0
1652475,NR3 4SA,69.0,42.0
1652476,NR3 4SB,29.0,12.0
1652477,NR3 4SD,56.0,38.0
1652478,NR3 4SE,88.0,53.0
1652479,NR3 4SF,100.0,49.0
1652480,NR3 4SG,52.0,22.0
1652481,NR3 4SH,73.0,39.0
1652482,NR3 4SJ,94.0,43.0
1652483,NR3 4SL,12.0,12.0
1652486,NR3 4SQ,90.0,43.0
1652487,NR3 4ST,34.0,20.0
1652490,NR3 4SY,2.0,1.0
1652491,NR3 4SZ,11.0,10.0
1652492,NR3 4TA,25.0,13.0
1652493,NR3 4TB,35.0,16.0
1652494,NR3 4TD,77.0,34.0
1652495,NR3 4TE,25.0,14.0
1652496,NR3 4TF,51.0,18.0
1652497,NR3 4TG,37.0,12.0
1652498,NR3 4TH,16.0,9.0
1652499,NR3 4TJ,38.0,20.0
1652500,NR3 4TL,73.0,45.0
1652501,NR3 4TN,7.0,3.0
1652502,NR3 4TP,21.0,9.0
1652503,NR3 4TQ,31.0,11.0
1652504,NR3 4TR,106.0,51.0
1652505,NR3 4TS,23.0,11.0
1652506,NR3 4TT,99.0,45.0
1652507,NR3 4TU,115.0,57.0
1652508,NR3 4TW,28.0,14.0
1652509,NR3 4TX,16.0,7.0
1652510,NR3 4TY,90.0,45.0
1652511,NR3 4TZ,89.0,46.0
1652512,NR3 4UA,33.0,24.0
1652537,NR30 1AE,29.0,20.0
1652538,NR30 1AF,20.0,14.0
1652544,NR30 1BA,47.0,22.0
1652548,NR30 1BF,10.0,4.0
1652549,NR30 1BG,15.0,9.0
1652550,NR30 1BH,52.0,27.0
1652551,NR30 1BJ,64.0,32.0
1652553,NR30 1BN,45.0,21.0
1652554,NR30 1BP,71.0,32.0
1652555,NR30 1BQ,15.0,10.0
1652556,NR30 1BS,19.0,10.0
1652557,NR30 1BT,24.0,8.0
1652559,NR30 1BW,5.0,4.0
1652560,NR30 1BX,25.0,10.0
1652561,NR30 1BY,18.0,10.0
1652562,NR30 1BZ,28.0,17.0
1652563,NR30 1DA,53.0,21.0
1652564,NR30 1DB,10.0,7.0
1652565,NR30 1DD,9.0,4.0
1652566,NR30 1DE,65.0,32.0
1652567,NR30 1DF,7.0,3.0
1652568,NR30 1DG,66.0,34.0
1652569,NR30 1DH,23.0,10.0
1652570,NR30 1DJ,108.0,40.0
1652571,NR30 1DL,58.0,21.0
1652572,NR30 1DN,7.0,6.0
1652573,NR30 1DP,72.0,32.0
1652574,NR30 1DQ,22.0,17.0
1652576,NR30 1DS,15.0,11.0
1652578,NR30 1DU,53.0,39.0
1652579,NR30 1DW,81.0,30.0
1652580,NR30 1DX,26.0,10.0
1652581,NR30 1DY,12.0,6.0
1652582,NR30 1DZ,32.0,5.0
1652585,NR30 1ED,4.0,0.0
1652586,NR30 1EE,19.0,7.0
1652592,NR30 1EN,16.0,11.0
1652593,NR30 1EP,89.0,44.0
1652595,NR30 1ER,70.0,39.0
1652596,NR30 1ES,74.0,36.0
1652598,NR30 1EU,45.0,26.0
1652599,NR30 1EW,87.0,42.0
1652600,NR30 1EX,132.0,41.0
1652601,NR30 1EY,114.0,61.0
1652603,NR30 1GA,35.0,20.0
1652607,NR30 1HF,13.0,6.0
1652613,NR30 1HP,3.0,3.0
1652615,NR30 1HR,35.0,14.0
1652617,NR30 1HT,32.0,19.0
1652618,NR30 1HU,11.0,5.0
1652624,NR30 1JB,20.0,13.0
1652625,NR30 1JD,2.0,1.0
1652627,NR30 1JF,48.0,23.0
1652628,NR30 1JG,1.0,1.0
1652631,NR30 1JL,9.0,4.0
1652633,NR30 1JP,14.0,5.0
1652638,NR30 1JU,22.0,10.0
1652640,NR30 1JX,1.0,1.0
1652641,NR30 1JY,32.0,14.0
1652642,NR30 1JZ,8.0,3.0
1652643,NR30 1LA,52.0,17.0
1652644,NR30 1LB,15.0,6.0
1652645,NR30 1LD,71.0,28.0
1652646,NR30 1LE,71.0,30.0
1652647,NR30 1LF,50.0,19.0
1652649,NR30 1LH,19.0,17.0
1652650,NR30 1LJ,57.0,31.0
1652652,NR30 1LN,1.0,1.0
1652653,NR30 1LP,32.0,12.0
1652657,NR30 1LT,27.0,7.0
1652659,NR30 1LW,6.0,2.0
1652661,NR30 1LY,9.0,3.0
1652663,NR30 1NA,1.0,1.0
1652664,NR30 1NB,11.0,5.0
1652665,NR30 1ND,10.0,8.0
1652666,NR30 1NE,6.0,2.0
1652668,NR30 1NG,31.0,16.0
1652669,NR30 1NH,31.0,15.0
1652670,NR30 1NJ,1.0,1.0
1652671,NR30 1NL,13.0,11.0
1652672,NR30 1NN,16.0,6.0
1652673,NR30 1NP,32.0,14.0
1652674,NR30 1NQ,15.0,8.0
1652675,NR30 1NR,19.0,11.0
1652676,NR30 1NS,17.0,11.0
1652677,NR30 1NT,52.0,15.0
1652678,NR30 1NU,7.0,2.0
1652681,NR30 1NY,19.0,7.0
1652684,NR30 1PB,24.0,9.0
1652685,NR30 1PD,3.0,1.0
1652686,NR30 1PE,30.0,7.0
1652687,NR30 1PF,52.0,31.0
1652688,NR30 1PG,35.0,6.0
1652690,NR30 1PJ,12.0,8.0
1652691,NR30 1PL,1.0,1.0
1652694,NR30 1PQ,28.0,18.0
1652695,NR30 1PR,1.0,1.0
1652696,NR30 1PS,50.0,22.0
1652697,NR30 1PT,60.0,41.0
1652700,NR30 1PX,17.0,7.0
1652701,NR30 1PY,68.0,23.0
1652702,NR30 1PZ,34.0,13.0
1652703,NR30 1QA,146.0,55.0
1652704,NR30 1QB,21.0,10.0
1652705,NR30 1QD,140.0,55.0
1652706,NR30 1QE,104.0,45.0
1652707,NR30 1QF,80.0,32.0
1652708,NR30 1QG,96.0,30.0
1652709,NR30 1QH,6.0,3.0
1652710,NR30 1QJ,138.0,56.0
1652711,NR30 1QL,126.0,49.0
1652712,NR30 1QN,79.0,30.0
1652713,NR30 1QP,60.0,27.0
1652714,NR30 1QQ,143.0,54.0
1652716,NR30 1QS,80.0,14.0
1652717,NR30 1QT,19.0,9.0
1652718,NR30 1QU,59.0,22.0
1652719,NR30 1QW,65.0,24.0
1652721,NR30 1QY,14.0,10.0
1652730,NR30 1RL,1.0,1.0
1652731,NR30 1RN,18.0,9.0
1652732,NR30 1RP,22.0,8.0
1652734,NR30 1RR,6.0,4.0
1652738,NR30 1RW,24.0,13.0
1652741,NR30 1SB,23.0,8.0
1652743,NR30 1SE,17.0,0.0
1652746,NR30 1SH,2.0,1.0
1652747,NR30 1SJ,12.0,4.0
1652748,NR30 1SL,8.0,5.0
1652761,NR30 1TB,3.0,1.0
1652762,NR30 1TD,62.0,33.0
1652764,NR30 1TH,7.0,2.0
1652775,NR30 2AE,7.0,5.0
1652776,NR30 2AF,33.0,17.0
1652777,NR30 2AG,6.0,2.0
1652778,NR30 2AH,6.0,3.0
1652779,NR30 2AJ,34.0,17.0
1652780,NR30 2AL,56.0,26.0
1652781,NR30 2AN,12.0,4.0
1652782,NR30 2AP,35.0,18.0
1652784,NR30 2AR,78.0,25.0
1652785,NR30 2AS,25.0,15.0
1652786,NR30 2AT,118.0,40.0
1652787,NR30 2AU,12.0,5.0
1652789,NR30 2AX,2.0,1.0
1652790,NR30 2AY,21.0,10.0
1652791,NR30 2AZ,11.0,8.0
1652795,NR30 2BE,2.0,1.0
1652796,NR30 2BF,26.0,10.0
1652800,NR30 2BL,23.0,21.0
1652801,NR30 2BN,23.0,10.0
1652803,NR30 2BQ,86.0,45.0
1652804,NR30 2BS,8.0,4.0
1652805,NR30 2BT,57.0,27.0
1652806,NR30 2BU,13.0,8.0
1652807,NR30 2BW,8.0,6.0
1652808,NR30 2BX,16.0,7.0
1652809,NR30 2BY,7.0,5.0
1652810,NR30 2BZ,31.0,17.0
1652811,NR30 2DA,5.0,2.0
1652812,NR30 2DB,52.0,21.0
1652813,NR30 2DD,18.0,6.0
1652814,NR30 2DE,6.0,2.0
1652815,NR30 2DF,12.0,5.0
1652816,NR30 2DG,27.0,11.0
1652817,NR30 2DH,4.0,1.0
1652818,NR30 2DJ,8.0,2.0
1652820,NR30 2DN,98.0,31.0
1652821,NR30 2DP,45.0,21.0
1652822,NR30 2DQ,27.0,20.0
1652823,NR30 2DR,45.0,15.0
1652824,NR30 2DS,26.0,10.0
1652825,NR30 2DT,48.0,27.0
1652826,NR30 2DU,22.0,10.0
1652827,NR30 2DW,13.0,7.0
1652828,NR30 2DX,56.0,24.0
1652829,NR30 2DY,15.0,8.0
1652830,NR30 2DZ,21.0,7.0
1652831,NR30 2EA,8.0,4.0
1652832,NR30 2EB,44.0,26.0
1652833,NR30 2ED,26.0,12.0
1652834,NR30 2EE,56.0,30.0
1652835,NR30 2EF,20.0,9.0
1652836,NR30 2EG,37.0,16.0
1652838,NR30 2EJ,58.0,34.0
1652839,NR30 2EL,7.0,4.0
1652840,NR30 2EN,3.0,1.0
1652841,NR30 2EP,7.0,2.0
1652842,NR30 2EQ,8.0,4.0
1652844,NR30 2ES,9.0,5.0
1652846,NR30 2EU,15.0,8.0
1652847,NR30 2EW,3.0,1.0
1652848,NR30 2EX,64.0,28.0
1652850,NR30 2EZ,16.0,5.0
1652853,NR30 2FD,10.0,2.0
1652854,NR30 2FE,17.0,7.0
1652855,NR30 2FF,9.0,5.0
1652864,NR30 2GZ,8.0,5.0
1652866,NR30 2HB,13.0,6.0
1652867,NR30 2HD,9.0,4.0
1652868,NR30 2HE,17.0,8.0
1652870,NR30 2HG,91.0,28.0
1652871,NR30 2HH,22.0,14.0
1652873,NR30 2HL,46.0,29.0
1652875,NR30 2HP,15.0,6.0
1652876,NR30 2HQ,27.0,15.0
1652877,NR30 2HR,4.0,1.0
1652878,NR30 2HS,14.0,4.0
1652879,NR30 2HT,8.0,3.0
1652880,NR30 2HU,61.0,30.0
1652881,NR30 2HW,18.0,0.0
1652882,NR30 2HX,28.0,13.0
1652884,NR30 2HZ,35.0,10.0
1652885,NR30 2JA,39.0,13.0
1652886,NR30 2JB,28.0,13.0
1652887,NR30 2JD,128.0,46.0
1652889,NR30 2JF,60.0,19.0
1652890,NR30 2JG,18.0,8.0
1652891,NR30 2JH,66.0,23.0
1652892,NR30 2JJ,39.0,15.0
1652893,NR30 2JL,24.0,14.0
1652894,NR30 2JN,72.0,32.0
1652896,NR30 2JQ,75.0,25.0
1652897,NR30 2JR,95.0,43.0
1652898,NR30 2JS,4.0,2.0
1652899,NR30 2JT,87.0,34.0
1652900,NR30 2JU,7.0,3.0
1652902,NR30 2JX,23.0,1.0
1652903,NR30 2JY,45.0,17.0
1652904,NR30 2JZ,23.0,12.0
1652905,NR30 2LA,15.0,6.0
1652907,NR30 2LD,57.0,12.0
1652909,NR30 2LF,23.0,0.0
1652910,NR30 2LG,16.0,9.0
1652911,NR30 2LH,99.0,46.0
1652912,NR30 2LJ,53.0,32.0
1652913,NR30 2LL,5.0,3.0
1652914,NR30 2LN,19.0,10.0
1652915,NR30 2LP,23.0,10.0
1652916,NR30 2LQ,11.0,6.0
1652918,NR30 2LS,2.0,1.0
1652920,NR30 2LU,20.0,15.0
1652922,NR30 2LX,59.0,34.0
1652923,NR30 2LY,23.0,11.0
1652924,NR30 2LZ,26.0,17.0
1652925,NR30 2NA,110.0,37.0
1652926,NR30 2NB,8.0,6.0
1652927,NR30 2ND,69.0,34.0
1652928,NR30 2NE,11.0,4.0
1652929,NR30 2NF,22.0,8.0
1652930,NR30 2NG,5.0,4.0
1652931,NR30 2NH,10.0,4.0
1652932,NR30 2NJ,34.0,11.0
1652933,NR30 2NN,57.0,29.0
1652934,NR30 2NP,1.0,1.0
1652935,NR30 2NQ,66.0,32.0
1652936,NR30 2NR,30.0,16.0
1652940,NR30 2NW,24.0,10.0
1652943,NR30 2NZ,30.0,13.0
1652944,NR30 2PA,26.0,14.0
1652948,NR30 2PF,4.0,3.0
1652950,NR30 2PH,3.0,2.0
1652953,NR30 2PN,22.0,9.0
1652954,NR30 2PP,49.0,20.0
1652955,NR30 2PQ,51.0,25.0
1652956,NR30 2PR,100.0,47.0
1652957,NR30 2PS,30.0,8.0
1652958,NR30 2PT,13.0,4.0
1652959,NR30 2PU,8.0,3.0
1652960,NR30 2PW,43.0,23.0
1652962,NR30 2PY,45.0,37.0
1652963,NR30 2PZ,28.0,24.0
1652965,NR30 2QB,21.0,16.0
1652966,NR30 2QD,11.0,4.0
1652967,NR30 2QE,6.0,1.0
1652970,NR30 2QH,12.0,8.0
1652976,NR30 2QR,12.0,8.0
1652977,NR30 2QS,3.0,2.0
1652985,NR30 2RB,13.0,8.0
1652988,NR30 2RG,13.0,3.0
1652992,NR30 2RN,63.0,25.0
1652993,NR30 2RP,47.0,20.0
1652996,NR30 2RS,69.0,28.0
1652997,NR30 2RT,58.0,23.0
1652998,NR30 2RU,71.0,24.0
1652999,NR30 2RW,97.0,48.0
1653000,NR30 2RX,97.0,38.0
1653001,NR30 2RY,102.0,30.0
1653002,NR30 2RZ,74.0,29.0
1653003,NR30 2SA,116.0,40.0
1653004,NR30 2SB,93.0,36.0
1653005,NR30 2SD,22.0,8.0
1653006,NR30 2SE,46.0,22.0
1653007,NR30 2SF,47.0,16.0
1653008,NR30 2SG,62.0,30.0
1653010,NR30 2SJ,28.0,21.0
1653011,NR30 2SL,31.0,18.0
1653012,NR30 2SN,15.0,10.0
1653013,NR30 2SP,18.0,7.0
1653014,NR30 2SQ,42.0,21.0
1653027,NR30 2XA,59.0,23.0
1653031,NR30 3AA,21.0,9.0
1653032,NR30 3AB,52.0,29.0
1653034,NR30 3AE,2.0,0.0
1653035,NR30 3AF,11.0,5.0
1653036,NR30 3AG,6.0,0.0
1653037,NR30 3AH,28.0,10.0
1653038,NR30 3AJ,5.0,4.0
1653039,NR30 3AL,109.0,45.0
1653040,NR30 3AN,4.0,1.0
1653042,NR30 3AQ,44.0,17.0
1653043,NR30 3AR,20.0,12.0
1653044,NR30 3AS,45.0,32.0
1653045,NR30 3AT,11.0,6.0
1653046,NR30 3AU,21.0,10.0
1653047,NR30 3AW,32.0,11.0
1653048,NR30 3AX,42.0,16.0
1653049,NR30 3AY,65.0,27.0
1653050,NR30 3AZ,37.0,18.0
1653051,NR30 3BA,32.0,14.0
1653052,NR30 3BB,36.0,18.0
1653053,NR30 3BD,16.0,7.0
1653056,NR30 3BG,10.0,3.0
1653057,NR30 3BH,85.0,31.0
1653058,NR30 3BJ,32.0,11.0
1653059,NR30 3BL,32.0,13.0
1653060,NR30 3BN,21.0,13.0
1653061,NR30 3BP,70.0,26.0
1653062,NR30 3BQ,55.0,21.0
1653063,NR30 3BS,9.0,6.0
1653064,NR30 3BT,14.0,5.0
1653065,NR30 3BU,23.0,9.0
1653066,NR30 3BW,10.0,6.0
1653067,NR30 3BX,43.0,23.0
1653069,NR30 3BZ,11.0,5.0
1653070,NR30 3DA,18.0,10.0
1653071,NR30 3DB,28.0,17.0
1653074,NR30 3DF,51.0,28.0
1653075,NR30 3DG,110.0,51.0
1653076,NR30 3DH,123.0,56.0
1653077,NR30 3DL,107.0,57.0
1653078,NR30 3DN,105.0,56.0
1653079,NR30 3DP,92.0,34.0
1653080,NR30 3DQ,103.0,41.0
1653081,NR30 3DR,18.0,8.0
