,Postcode,Population,Households
1636480,NR1 4LA,29.0,14.0
1636481,NR1 4LB,67.0,36.0
1636482,NR1 4LD,39.0,24.0
1636483,NR1 4LE,69.0,30.0
1636484,NR1 4LF,112.0,51.0
1636485,NR1 4LG,26.0,11.0
1636486,NR1 4LH,65.0,56.0
1636487,NR1 4LJ,135.0,52.0
1636488,NR1 4LL,27.0,17.0
1636489,NR1 4LN,58.0,22.0
1636491,NR1 4LQ,2.0,1.0
1636492,NR1 4LR,19.0,11.0
1636495,NR1 4LU,376.0,0.0
1636496,NR1 4LW,19.0,6.0
1636497,NR1 4LX,58.0,32.0
1636498,NR1 4LY,46.0,21.0
1636499,NR1 4LZ,56.0,28.0
1636500,NR1 4NA,42.0,22.0
1636501,NR1 4NB,41.0,18.0
1636502,NR1 4ND,60.0,35.0
1636503,NR1 4NE,17.0,11.0
1636504,NR1 4NF,81.0,40.0
1636505,NR1 4NG,72.0,37.0
1636506,NR1 4NH,22.0,13.0
1636507,NR1 4NJ,51.0,28.0
1636508,NR1 4NL,17.0,9.0
1636509,NR1 4NN,32.0,16.0
1636510,NR1 4NP,30.0,12.0
1636511,NR1 4NQ,50.0,20.0
1636512,NR1 4NR,14.0,8.0
1636513,NR1 4NS,75.0,32.0
1636514,NR1 4NT,42.0,17.0
1636515,NR1 4NU,51.0,22.0
1636516,NR1 4NW,84.0,36.0
1636518,NR1 4NY,21.0,9.0
1636519,NR1 4NZ,87.0,31.0
1636520,NR1 4PA,111.0,37.0
1636521,NR1 4PB,81.0,51.0
1636522,NR1 4PD,15.0,12.0
1636523,NR1 4PE,19.0,17.0
1636524,NR1 4PF,60.0,38.0
1636526,NR1 4PH,20.0,13.0
1636527,NR1 4PJ,137.0,48.0
1636528,NR1 4PL,50.0,20.0
1636529,NR1 4PN,105.0,37.0
1636530,NR1 4PP,204.0,66.0
1636532,NR1 4PR,62.0,23.0
1636533,NR1 4PS,36.0,15.0
1636534,NR1 4PT,75.0,27.0
1636535,NR1 4PU,202.0,58.0
1636536,NR1 4PW,31.0,11.0
1636537,NR1 4PX,59.0,17.0
1636538,NR1 4PY,137.0,41.0
1636539,NR1 4PZ,143.0,46.0
1636540,NR1 4QA,138.0,47.0
1636541,NR1 4QB,53.0,17.0
1636542,NR1 4QD,19.0,7.0
1636546,NR1 4QJ,55.0,20.0
1636550,NR1 4RD,36.0,23.0
1636573,NR10 3AA,16.0,7.0
1636574,NR10 3AB,31.0,10.0
1636575,NR10 3AD,195.0,81.0
1636576,NR10 3AE,21.0,12.0
1636577,NR10 3AF,6.0,4.0
1636578,NR10 3AG,26.0,9.0
1636579,NR10 3AH,4.0,2.0
1636580,NR10 3AJ,2.0,1.0
1636581,NR10 3AL,10.0,4.0
1636582,NR10 3AN,12.0,5.0
1636583,NR10 3AP,6.0,3.0
1636584,NR10 3AQ,17.0,5.0
1636585,NR10 3AR,7.0,3.0
1636586,NR10 3AS,1.0,1.0
1636587,NR10 3AT,79.0,34.0
1636588,NR10 3AU,3.0,2.0
1636589,NR10 3AW,15.0,4.0
1636590,NR10 3AX,121.0,50.0
1636591,NR10 3AY,71.0,25.0
1636592,NR10 3AZ,3.0,2.0
1636593,NR10 3BA,11.0,5.0
1636594,NR10 3BB,138.0,24.0
1636596,NR10 3BE,77.0,26.0
1636598,NR10 3BG,11.0,3.0
1636599,NR10 3BH,16.0,7.0
1636600,NR10 3BJ,62.0,23.0
1636601,NR10 3BL,1.0,1.0
1636602,NR10 3BN,7.0,3.0
1636603,NR10 3BP,6.0,1.0
1636604,NR10 3BQ,21.0,8.0
1636605,NR10 3BS,2.0,1.0
1636606,NR10 3BT,17.0,6.0
1636607,NR10 3BU,13.0,8.0
1636608,NR10 3BW,10.0,4.0
1636609,NR10 3BX,29.0,11.0
1636610,NR10 3BY,13.0,7.0
1636611,NR10 3BZ,19.0,8.0
1636612,NR10 3DA,24.0,10.0
1636613,NR10 3DB,56.0,25.0
1636614,NR10 3DD,56.0,23.0
1636615,NR10 3DE,48.0,26.0
1636617,NR10 3DG,81.0,28.0
1636618,NR10 3DH,130.0,46.0
1636619,NR10 3DJ,22.0,8.0
1636620,NR10 3DL,35.0,11.0
1636621,NR10 3DN,20.0,9.0
1636622,NR10 3DP,8.0,5.0
1636623,NR10 3DQ,22.0,11.0
1636624,NR10 3DR,39.0,19.0
1636625,NR10 3DS,78.0,26.0
1636626,NR10 3DT,46.0,22.0
1636627,NR10 3DU,38.0,16.0
1636628,NR10 3DW,28.0,14.0
1636629,NR10 3DX,22.0,11.0
1636630,NR10 3DY,9.0,5.0
1636631,NR10 3DZ,11.0,6.0
1636632,NR10 3EA,84.0,38.0
1636633,NR10 3EB,49.0,24.0
1636634,NR10 3ED,11.0,5.0
1636635,NR10 3EE,62.0,25.0
1636636,NR10 3EF,101.0,38.0
1636637,NR10 3EG,30.0,8.0
1636638,NR10 3EH,50.0,22.0
1636639,NR10 3EJ,36.0,19.0
1636640,NR10 3EL,113.0,41.0
1636641,NR10 3EN,74.0,24.0
1636642,NR10 3EP,77.0,26.0
1636643,NR10 3EQ,44.0,19.0
1636644,NR10 3ER,14.0,5.0
1636645,NR10 3ES,33.0,12.0
1636646,NR10 3ET,19.0,9.0
1636647,NR10 3EU,12.0,5.0
1636648,NR10 3EW,36.0,12.0
1636649,NR10 3EX,21.0,8.0
1636650,NR10 3EY,39.0,20.0
1636651,NR10 3EZ,27.0,14.0
1636653,NR10 3FB,3.0,1.0
1636689,NR10 3HA,11.0,4.0
1636690,NR10 3HB,29.0,11.0
1636691,NR10 3HD,28.0,10.0
1636692,NR10 3HE,49.0,21.0
1636693,NR10 3HF,118.0,42.0
1636694,NR10 3HG,57.0,23.0
1636695,NR10 3HH,33.0,10.0
1636696,NR10 3HJ,2.0,1.0
1636697,NR10 3HL,13.0,4.0
1636698,NR10 3HN,38.0,16.0
1636699,NR10 3HP,41.0,17.0
1636700,NR10 3HQ,57.0,23.0
1636701,NR10 3HR,28.0,13.0
1636702,NR10 3HS,15.0,6.0
1636704,NR10 3HU,66.0,25.0
1636705,NR10 3HW,11.0,4.0
1636706,NR10 3HX,5.0,4.0
1636707,NR10 3HY,101.0,50.0
1636709,NR10 3JA,62.0,28.0
1636710,NR10 3JB,21.0,8.0
1636711,NR10 3JD,12.0,8.0
1636712,NR10 3JE,49.0,20.0
1636713,NR10 3JF,24.0,9.0
1636714,NR10 3JG,11.0,4.0
1636715,NR10 3JH,41.0,16.0
1636716,NR10 3JJ,34.0,15.0
1636717,NR10 3JL,4.0,3.0
1636718,NR10 3JN,59.0,23.0
1636719,NR10 3JP,68.0,32.0
1636720,NR10 3JQ,63.0,25.0
1636721,NR10 3JR,19.0,7.0
1636722,NR10 3JS,37.0,15.0
1636723,NR10 3JT,84.0,53.0
1636724,NR10 3JU,3.0,1.0
1636725,NR10 3JW,33.0,23.0
1636729,NR10 3LA,16.0,8.0
1636730,NR10 3LB,18.0,6.0
